Alias, Information Visualization,Statistics,Mathematics,Drawing,Programming,Computer graphics programming,HCI programming,User experience evaluation,Code repository,Teamwork,ClassTeamwork
Aiya12,1,3,5,2,4,1,1,3,8,9,darkgreen
Appa,4,4,5,4,7,3,2,8,7,10,darkgreen
Baby-Yoda-(Grogu),3,6,7,6,5,3,4,4,6,9.5,darkgreen
Jaskier,3,3,6,8,5,7,6,5,4,9,darkgreen
Moony04,6,6,7,8,6,6,5,5,8,9.5,darkgreen
Ravagers,4,4,6,2,5,5,5,7,5,9.5,darkgreen
RedMouse,1,4,4,10,2,1,4,6,2,9,darkgreen
sofi,5,3,7,7,8,3,5,6,8,9,darkgreen
X�A12,1,5,5,9,6,1,3,9,6,10,darkgreen
Anchovy,3,4,5,8,7,5,3,4,7,7.5,lightgreen
Arceus,4,4,6,7,5,6,6,8,4,8.5,lightgreen
dorp,1,3,4,3,5,6,3,2,5,8,lightgreen
fvmlrvgj,3,6,5,1,6,3,5,5,8,7.5,lightgreen
Gandabldore,2,3,2,5,5,2,5,8,3,7.5,lightgreen
KusinVitamin,2,3,8,8,7,1,5,5,8,7.5,lightgreen
Manama-Jeff,3,3,3,6,5,2,3,3,4,8,lightgreen
PorcupineLover1337,2,6,1,7,2,2,2,4,3,7.5,lightgreen
Senjougahara,4,5,5,6,7,3,7,2,9,8,lightgreen
Snowflake,2,6,7,5,5,3,5,3,3,8,lightgreen
Sthlm,3,3,3,2,2,2,3,3,3,8.5,lightgreen
Supporter24,2,3,7,3,8,7,3,3,8,7.5,lightgreen
wagame,3,2,5,7,4,2,2,8,6,8.5,lightgreen
ztekzpaden1,1,3,7,10,1,4,2,3,5,7.5,lightgreen
_no_one_,3,1,1,5,4,1,4,3,6,6,yellow
Bj�rky,6,8,8,4,7,6,6,7,6,7,yellow
C3I2,8,9,7,5,7,6,5,6,7,6.5,yellow
Chock,5,7,6,1,7,7,7,7,8,6,yellow
dez2pacito,3,3,5,5,6,7,4,3,5,6,yellow
glas444,1,4,5,4,3,1,2,2,4,6,yellow
Rouy-Saila,5,3,8,3,8,5,4,2,8,7,yellow
sentient_polyhedron,7,4,5,2,8,3,4,3,9,6.5,yellow
SuperstitiousOtter,5,7,6,4,9,5,6,3,8,6,yellow
tigerShark,5,6,5,5,6,7,5,4,7,7,yellow
Xiao,5,8,8,3,5,5,6,5,9,7,yellow
Baar,3,4,5,10,2,2,3,8,2,5,orange
CrispyChicken,3,3,4,8,8,8,5,1,5,5,orange
Frog,2,4,5,4,5,5,3,3,4,4.5,orange
gherkin,3,3,4,8,5,3,3,3,6,5.5,orange
Kpmsd,2,3,7,2,6,3,4,3,6,5.5,orange
loooh,3,4,7,2,6,4,3,2,6,5,orange
Neko27,2,4,5,7,3,2,3,7,5,4.5,orange
Oliver-Queen,2,1,5,2,4,3,3,3,5,5,orange
Nier1-2247,2,4,6,7,4,3,4,4,5,3,red
Rani,1,1,6,3,6,2,1,1,4,4,red
